date,agx,agy,agz
2021-05-06 17:31:27.014276,-2.0,8.0,-1000.0
2021-05-06 17:31:27.077452,-2.0,8.0,-1000.0
2021-05-06 17:31:27.139578,-1.0,5.0,-998.0
2021-05-06 17:31:27.201213,0.0,5.0,-998.0
2021-05-06 17:31:27.263699,0.0,5.0,-998.0
2021-05-06 17:31:27.325921,0.0,6.0,-1001.0
2021-05-06 17:31:27.387558,0.0,6.0,-1001.0
2021-05-06 17:31:27.449410,0.0,8.0,-1000.0
2021-05-06 17:31:27.512211,-1.0,6.0,-998.0
2021-05-06 17:31:27.574642,-1.0,6.0,-998.0
2021-05-06 17:31:27.636786,-1.0,6.0,-1000.0
2021-05-06 17:31:27.699498,-1.0,6.0,-1000.0
2021-05-06 17:31:27.762149,-1.0,5.0,-999.0
2021-05-06 17:31:27.824408,-1.0,5.0,-999.0
2021-05-06 17:31:27.887107,-1.0,7.0,-1001.0
2021-05-06 17:31:27.949905,-2.0,7.0,-998.0
2021-05-06 17:31:28.012166,-2.0,7.0,-998.0
2021-05-06 17:31:28.075170,-2.0,8.0,-999.0
2021-05-06 17:31:28.138224,-1.0,8.0,-1001.0
2021-05-06 17:31:28.201277,-1.0,8.0,-1001.0
2021-05-06 17:31:28.264660,-1.0,6.0,-1000.0
2021-05-06 17:31:28.326945,-1.0,6.0,-1000.0
2021-05-06 17:31:28.390016,0.0,6.0,-1001.0
2021-05-06 17:31:28.453242,-2.0,7.0,-1000.0
2021-05-06 17:31:28.515963,0.0,6.0,-1000.0
2021-05-06 17:31:28.577821,0.0,6.0,-1000.0
2021-05-06 17:31:28.639613,-1.0,7.0,-1000.0
2021-05-06 17:31:28.701786,-2.0,5.0,-1000.0
2021-05-06 17:31:28.764477,-2.0,5.0,-1000.0
2021-05-06 17:31:28.826505,0.0,6.0,-997.0
2021-05-06 17:31:28.888694,0.0,6.0,-997.0
2021-05-06 17:31:28.951444,0.0,7.0,-1001.0
2021-05-06 17:31:29.013210,-1.0,7.0,-998.0
2021-05-06 17:31:29.075009,-1.0,7.0,-998.0
2021-05-06 17:31:29.137998,-1.0,8.0,-1001.0
2021-05-06 17:31:29.200867,-1.0,8.0,-1001.0
2021-05-06 17:31:29.263325,-2.0,8.0,-1000.0
2021-05-06 17:31:29.325237,-1.0,5.0,-999.0
2021-05-06 17:31:29.387752,-1.0,5.0,-999.0
2021-05-06 17:31:29.449449,-1.0,6.0,-1000.0
2021-05-06 17:31:29.512180,-1.0,7.0,-1001.0
2021-05-06 17:31:29.558814,-1.0,7.0,-1001.0
2021-05-06 17:31:29.620704,-1.0,6.0,-1000.0
2021-05-06 17:31:29.683122,-1.0,6.0,-1000.0
2021-05-06 17:31:29.745783,-1.0,6.0,-998.0
2021-05-06 17:31:29.807731,-1.0,6.0,-998.0
2021-05-06 17:31:29.870805,-1.0,6.0,-1000.0
2021-05-06 17:31:29.931580,-2.0,7.0,-1001.0
2021-05-06 17:31:29.994121,-2.0,7.0,-1001.0
2021-05-06 17:31:30.055314,-1.0,7.0,-1001.0
2021-05-06 17:31:30.118062,-1.0,7.0,-1001.0
2021-05-06 17:31:30.180842,-1.0,4.0,-1000.0
2021-05-06 17:31:30.245844,-2.0,7.0,-1001.0
2021-05-06 17:31:30.306834,-2.0,7.0,-1001.0
2021-05-06 17:31:30.369776,-3.0,6.0,-1000.0
2021-05-06 17:31:30.432370,-2.0,7.0,-998.0
2021-05-06 17:31:30.493439,-2.0,7.0,-998.0
2021-05-06 17:31:30.556056,0.0,6.0,-999.0
2021-05-06 17:31:30.602918,0.0,6.0,-999.0
2021-05-06 17:31:30.665159,0.0,6.0,-999.0
2021-05-06 17:31:30.730176,0.0,6.0,-999.0
2021-05-06 17:31:30.775108,0.0,6.0,-1000.0
2021-05-06 17:31:30.837545,0.0,6.0,-1000.0
2021-05-06 17:31:30.898608,-4.0,7.0,-996.0
2021-05-06 17:31:30.960660,-1.0,6.0,-1001.0
2021-05-06 17:31:31.022196,-1.0,6.0,-1001.0
2021-05-06 17:31:31.084907,-2.0,6.0,-1001.0
2021-05-06 17:31:31.146701,0.0,4.0,-1000.0
2021-05-06 17:31:31.210351,0.0,4.0,-1000.0
2021-05-06 17:31:31.272574,-1.0,7.0,-1000.0
2021-05-06 17:31:31.334901,-1.0,7.0,-1000.0
2021-05-06 17:31:31.397394,-1.0,6.0,-999.0
2021-05-06 17:31:31.459156,-3.0,7.0,-996.0
2021-05-06 17:31:31.521299,-3.0,7.0,-996.0
2021-05-06 17:31:31.583297,3.0,-1.0,-1001.0
2021-05-06 17:31:31.644899,17.0,3.0,-1029.0
2021-05-06 17:31:31.691414,17.0,3.0,-1029.0
2021-05-06 17:31:31.754717,25.0,-37.0,-1113.0
2021-05-06 17:31:31.816401,-30.0,17.0,-1181.0
2021-05-06 17:31:31.879400,-30.0,17.0,-1181.0
2021-05-06 17:31:31.942065,-5.0,14.0,-1328.0
2021-05-06 17:31:32.003473,-5.0,14.0,-1328.0
2021-05-06 17:31:32.065839,20.0,-8.0,-1034.0
2021-05-06 17:31:32.128192,-21.0,10.0,-1013.0
2021-05-06 17:31:32.190344,-21.0,10.0,-1013.0
2021-05-06 17:31:32.252555,-45.0,41.0,-943.0
2021-05-06 17:31:32.315371,-45.0,41.0,-943.0
2021-05-06 17:31:32.376222,50.0,-57.0,-910.0
2021-05-06 17:31:32.438115,11.0,-20.0,-911.0
2021-05-06 17:31:32.499931,11.0,-20.0,-911.0
2021-05-06 17:31:32.562738,-2.0,1.0,-889.0
2021-05-06 17:31:32.624807,-2.0,1.0,-889.0
2021-05-06 17:31:32.686529,-9.0,6.0,-891.0
2021-05-06 17:31:32.749588,-3.0,6.0,-932.0
2021-05-06 17:31:32.811392,-3.0,6.0,-932.0
2021-05-06 17:31:32.872690,-18.0,2.0,-938.0
2021-05-06 17:31:32.935251,-43.0,15.0,-932.0
2021-05-06 17:31:32.997994,-43.0,15.0,-932.0
2021-05-06 17:31:33.060795,-19.0,-5.0,-953.0
2021-05-06 17:31:33.122820,-19.0,-5.0,-953.0
